City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Ostersund,SE,63.1792,14.6357,48.65,46,100,10.36,overcast clouds
282,Gazanjyk,TM,39.2446,55.5154,59.25,50,100,4.94,overcast clouds
283,Hofn,IS,64.2539,-15.2082,45.9,83,100,6.15,overcast clouds
284,Titlagarh,IN,20.3,83.15,83.12,59,69,9.24,broken clouds
285,Anchorage,US,61.2181,-149.9003,52.29,48,100,9.22,shower rain
286,Caraguatatuba,BR,-23.6338,-45.4899,63.68,95,22,3.76,few clouds
287,Maceio,BR,-9.6658,-35.7353,76.44,78,40,3.44,scattered clouds
288,Henties Bay,NA,-22.116,14.2845,61.88,67,0,4.21,clear sky
289,Gisborne,NZ,-38.6533,178.0042,56.25,88,100,22.37,light rain
290,French Harbor,HN,16.35,-86.4333,84.2,93,40,16.11,scattered clouds
291,Ampanihy,MG,-24.7,44.75,64.69,96,6,6.15,clear sky
292,Roma,US,43.2128,-75.4557,66.34,37,0,5.75,clear sky
293,Santa Rosa,PH,14.3122,121.1114,89.58,67,53,9.26,broken clouds
294,Golovchino,RU,50.5341,35.797,38.62,68,13,5.75,few clouds
295,Shuiji,CN,27.4214,118.345,67.96,94,100,1.83,overcast clouds
296,Leningradskiy,RU,69.3833,178.4167,30.42,78,91,9.55,overcast clouds
297,Yashan,CN,22.1975,109.9419,77.68,89,100,7.52,light rain
298,Port Blair,IN,11.6667,92.75,82.44,89,40,8.05,mist
299,Shestakovo,RU,56.4915,103.96,36.68,43,92,8.25,overcast clouds
300,Kolyshley,RU,52.7005,44.5367,39.58,78,100,17.25,overcast clouds
301,Cay,TR,38.5917,31.0286,48.33,68,0,2.82,clear sky
302,Esperance,AU,-33.8667,121.9,62.44,40,100,16.22,overcast clouds
303,Bendigo,AU,-36.7667,144.2833,60.64,65,1,5.77,clear sky
304,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,26.46,few clouds
305,Chicama,PE,-7.8447,-79.1469,61.34,85,41,5.44,scattered clouds
306,Ponca City,US,36.707,-97.0856,89.56,63,0,24.16,clear sky
307,Gushi,CN,34.6425,109.5843,60.98,65,29,2.95,scattered clouds
308,Puerto Ayacucho,VE,5.6639,-67.6236,76.41,86,90,3.33,overcast clouds
309,Sampit,ID,-2.5333,112.95,80.19,80,100,4.54,overcast clouds
310,Auki,SB,-8.7676,160.7034,85.75,68,86,4.23,overcast clouds
311,Korem,ET,12.5058,39.5228,56.44,68,9,1.52,clear sky
312,Hualmay,PE,-11.0964,-77.6139,64.9,89,36,8.05,scattered clouds
313,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.28,77,0,11.07,clear sky
314,Lufilufi,WS,-13.8745,-171.5986,85.78,75,16,12.82,few clouds
315,Riyadh,SA,24.6877,46.7219,73.54,17,0,6.98,clear sky
316,Kavieng,PG,-2.5744,150.7967,85.68,67,78,17.85,broken clouds
317,Gao,ML,16.6362,1.637,84.07,5,0,11.81,clear sky
318,Yar-Sale,RU,66.8333,70.8333,31.01,99,100,9.04,overcast clouds
319,Cabras,IT,39.93,8.5314,57.87,88,6,4.7,clear sky
320,Warrnambool,AU,-38.3833,142.4833,56.8,67,9,5.79,clear sky
321,Barkhan,PK,29.8977,69.5256,77.45,25,18,3.89,few clouds
322,Muyezerskiy,RU,63.9333,31.65,34.0,82,100,9.24,overcast clouds
